18.44,4.79
51.17,80.02
47.55,50.6
24.37,7.32
20.76,5.76
55.37,107.54
51.69,77.35
53.83,77.27
20.44,5.82
56.75,90.94
28.58,11.01
42.65,37.69
17.59,3.64
24.06,8.26
50.66,73.48
24.72,8.22
28.11,11.22
18.24,2.07
26.57,9.55
58.03,94.73
28.23,10.64
43.42,37.82
41.28,41.66
24.67,7.83
45.19,51.17
50.29,71.07
28.05,10.37
26.92,8.54
26.57,9.28
42.36,43.71
43.46,43.58
55.23,96.5
22.5,6.23
18.05,4.98
22.32,6.79
20.94,5.21
28.14,10.19
41.19,41.65
58.43,92.34
20.45,5.6
24.46,7.06
50.68,81.18
28.09,10.91
18.34,4.27
41.1,44.12
17.49,2.1
48.99,57.32
46.13,57.02
48.56,49.58
48.23,52.04
57.62,106.43
47.19,49.37
20.03,5.73
20.85,5.55
51.9,74.09
28.91,10.39
48.38,54.45
41.1,41.49
22.83,6.59
24.76,8.04
28.34,11.44
26.12,8.61
47.29,53.19
43.76,41.51
26.65,9.28
45.51,55.24
26.78,9.76
22.08,6.46
48.99,51.73
27.0,9.71
24.8,7.27
24.73,7.1
24.43,8.32
24.22,8.0
57.48,103.52
22.93,6.22
46.96,52.94
50.56,69.45
42.64,39.11
18.47,4.71
58.92,95.26
42.72,44.76
22.43,6.54
58.23,102.98
47.83,53.38
48.62,51.81
56.92,106.73
20.54,5.83
45.97,51.09
24.26,8.42
42.02,40.51
57.43,95.68
20.35,5.36
18.83,1.27
52.39,80.37
58.35,101.8
57.96,109.58
51.44,69.42
28.89,10.8
22.32,6.98
52.78,75.21
45.73,55.44
28.41,10.16
28.5,10.29
22.4,6.54
57.12,102.77
53.44,71.22
28.48,10.75
20.44,5.64
28.93,10.04
57.91,105.78
51.79,79.52
47.34,51.92
40.11,44.0
24.76,7.46
53.23,76.94
22.16,6.93
20.99,5.41
56.47,98.89
26.8,8.54
22.16,6.95
45.45,51.32
46.82,56.05
53.11,77.46
20.27,5.45
17.41,2.88
48.66,59.35
42.17,43.76
24.8,8.02
51.2,80.37
17.75,1.27
40.45,43.89
51.12,69.4
22.5,6.28
58.64,98.52
26.24,9.73
26.08,9.84
55.07,102.22
20.07,5.08
24.57,7.92
50.92,79.3
22.44,6.15
40.33,41.18
58.68,105.86
17.01,2.21
41.16,37.68
48.9,54.74
20.96,5.21
48.75,58.01
17.55,4.25
43.69,42.52
57.2,99.73
17.78,1.78
24.59,7.64
47.89,58.98
18.14,3.45
50.11,75.49
26.88,8.89
52.62,77.33
55.97,95.15
53.91,79.29
45.96,50.15
51.45,79.25
18.18,1.0
26.16,9.22
41.25,44.78
42.61,39.51
53.52,80.88
26.92,10.0
18.89,3.31
18.53,3.73
24.25,8.25
24.68,7.84
43.44,38.02
18.48,3.84
20.74,5.66
42.05,40.68
22.67,6.27
43.07,42.58
24.01,7.72
50.08,78.24
20.38,5.58
58.16,92.79
40.89,37.57
57.71,96.89
24.73,7.25
47.14,55.7
50.26,73.27
46.09,57.46
47.95,49.74
26.34,8.82
56.1,105.39
56.78,104.22
28.18,10.39
55.26,102.23
24.56,7.14
45.43,56.13
55.47,106.32
51.8,68.6
26.83,8.53
58.49,96.44
46.37,58.69
50.14,68.56
56.62,91.98
26.92,8.58
28.92,11.38
22.86,6.2
57.11,107.35
55.35,92.2
52.71,67.36
58.08,92.28
18.89,1.02
18.55,2.08
28.56,10.42
44.0,40.58
17.71,1.04
56.54,104.94
47.39,50.16
28.55,11.48
28.51,10.65
41.83,39.71
40.19,38.63
53.98,76.89
17.79,2.16
56.0,95.39
26.82,8.78
46.71,53.99
24.7,7.92
56.66,93.63
20.97,5.38
45.78,54.17
52.28,75.36
18.93,2.29
28.21,11.05
18.12,1.47
18.67,2.45
26.46,9.3
50.87,81.14
26.3,9.08
41.51,42.34
22.31,6.03
26.24,8.83
58.27,103.14
45.55,55.97
56.92,104.75
47.27,57.15
50.66,78.95
24.83,7.42
20.6,5.87
42.74,38.78
17.8,4.61
58.13,105.73
57.31,95.76
24.82,8.11
48.2,52.71
41.64,43.36
24.72,7.2
56.62,93.93
46.03,49.29
22.42,6.86
22.95,6.72
46.1,52.01
42.53,44.4
40.97,42.91
28.8,10.58
20.4,5.5
46.02,58.06
41.69,38.34
20.51,5.68
53.75,79.58
57.15,94.68
51.11,67.85
20.55,5.33
40.36,41.95
24.58,7.07
43.77,44.08
48.8,56.95
43.71,42.5
42.01,39.21
26.87,9.22
28.88,11.24
20.28,5.2
26.99,9.69
41.81,39.22
46.72,52.53
28.41,10.88
53.05,72.6
22.22,6.13
20.4,5.88
17.81,4.42
24.72,7.19
50.19,72.33
43.58,43.62
56.97,102.37
56.95,93.04
58.01,106.59
20.97,5.84
26.79,8.95
24.3,7.16
58.29,95.72
22.42,6.74
43.55,42.91
50.05,68.68
46.75,58.96
45.29,53.63
20.51,5.45
26.2,9.38
22.96,6.93
22.62,6.36
18.72,2.39
56.02,102.11
17.22,4.16
45.52,51.05
58.26,99.12
24.67,7.91
46.23,58.65
18.68,4.43
26.71,9.44
53.32,72.52
28.26,11.16
24.56,7.52
24.44,7.54
26.79,9.71
45.12,55.03
45.37,53.04
22.95,6.13
28.1,10.72
17.23,3.8
28.22,10.27
22.19,6.62
53.42,69.04
48.69,52.3
26.62,9.6
20.17,5.25
17.91,1.64
42.09,40.32
18.28,1.54
24.63,8.4
56.01,91.12
52.87,73.93
20.45,5.88
53.44,80.76
28.69,11.12
58.69,92.71
20.13,5.46
22.5,6.49
22.82,6.92
46.4,56.35
42.98,38.4
24.94,8.07
24.73,8.43
20.26,5.1
20.13,5.44
45.11,59.1
57.34,102.85
26.86,9.6
20.03,5.88
24.09,7.37
51.16,76.69
20.77,5.02
42.87,44.22
53.44,78.82
20.53,5.43
28.67,11.41
52.31,75.62
28.43,10.54
22.18,6.05
50.2,67.95
24.46,8.32
28.11,10.82
26.47,9.42
28.05,11.32
24.34,7.75
41.32,41.9
26.68,8.68
18.61,4.34
45.89,52.54
50.36,72.45
17.29,2.88
53.47,71.49
22.87,6.88
45.65,53.62
26.81,9.13
55.57,91.73
42.4,42.11
18.61,1.62
46.19,53.57
47.35,53.99
26.69,8.69
57.97,106.99
26.24,8.7
22.98,6.33
28.03,10.4
48.26,56.49
43.38,37.42
24.76,7.58
20.63,5.34
55.7,95.99
18.54,1.77
28.19,10.34
